input_id	dealiased_id	standard_id	short_id
doi:10.1093/annonc/mdx707	doi:10.1093/annonc/mdx707	doi:10.1093/annonc/mdx707	fsabqks
doi:10.1093/jnci/djp341	doi:10.1093/jnci/djp341	doi:10.1093/jnci/djp341	t9NvuXx2
doi:10.1186/s13045-022-01353-w	doi:10.1186/s13045-022-01353-w	doi:10.1186/s13045-022-01353-w	qSH6r3Uo
doi:10.1186/s13045-022-01311-6	doi:10.1186/s13045-022-01311-6	doi:10.1186/s13045-022-01311-6	CkczGwEJ
doi:10.1093/annonc/mdz192	doi:10.1093/annonc/mdz192	doi:10.1093/annonc/mdz192	c9AdwXLE
doi:10.1016/j.cell.2018.03.035	doi:10.1016/j.cell.2018.03.035	doi:10.1016/j.cell.2018.03.035	11ZPgRuLk
doi:10.1016/j.cell.2020.11.045	doi:10.1016/j.cell.2020.11.045	doi:10.1016/j.cell.2020.11.045	5N9Iz2gd
pancanatlas	pancanatlas	pancanatlas	KrfP0fMx
doi:10.1038/s41586-019-1186-3	doi:10.1038/s41586-019-1186-3	doi:10.1038/s41586-019-1186-3	kcdvZmNN
doi:10.1093/nar/gks1111	doi:10.1093/nar/gks1111	doi:10.1093/nar/gks1111	lJFuND9F
arxiv:2205.09911	arxiv:2205.09911	arxiv:2205.09911	m16z46g3
arxiv:2108.07258	arxiv:2108.07258	arxiv:2108.07258	9Swcx8ai
arxiv:2306.15794	arxiv:2306.15794	arxiv:2306.15794	NMsylj71
doi:10.1101/2023.04.30.538439	doi:10.1101/2023.04.30.538439	doi:10.1101/2023.04.30.538439	r5y0HbhJ
doi:10.1101/2023.05.29.542705	doi:10.1101/2023.05.29.542705	doi:10.1101/2023.05.29.542705	Uetau8wh
doi:10.1016/j.cell.2018.02.052	doi:10.1016/j.cell.2018.02.052	doi:10.1016/j.cell.2018.02.052	ZB5QpmE
doi:10.1038/s41587-019-0055-9	doi:10.1038/s41587-019-0055-9	doi:10.1038/s41587-019-0055-9	IKDYyuvh
doi:10.1038/s41586-020-1969-6	doi:10.1038/s41586-020-1969-6	doi:10.1038/s41586-020-1969-6	12f5xcS10
doi:10.1158/2159-8290.CD-17-0151	doi:10.1158/2159-8290.CD-17-0151	doi:10.1158/2159-8290.cd-17-0151	8oOo13r
